DUMP-DRG     155
 CAA   6-F    3    4  31.010  17.120  -0.490    2    3    4    5
 HAA   1,F    0    1  30.532  16.659  -1.355    1
 HAB   1,F    0    1  31.881  17.689  -0.816    1
 HAC   1,F    0    1  30.312  17.742   0.070    1
 CAS   6+F    3    4  31.450  16.030   0.490    1    6    7    8
 HAV   1,F    0    1  31.928  16.491   1.354    5
 HAW   1,F    0    1  32.091  15.344  -0.063    5
 CBE   6+F    3    4  30.230  15.230   0.950    5    9   10   11
 HBJ   1,F    0    1  29.756  14.760   0.088    8
 HBK   1,F    0    1  29.585  15.917   1.498    8
 CBH   6-F    3    4  30.680  14.150   1.940    8   12   13   14
 HBP   1,F    0    1  31.319  13.461   1.387   11
 HBQ   1,F    0    1  31.171  14.627   2.788   11
 CAY   6-F    3    4  29.480  13.330   2.450   11   15   16   17
 HA7   1,F    0    1  28.882  13.071   1.576   14
 HA8   1,F    0    1  29.850  12.468   3.006   14
 CAM   6+F    2    3  28.580  14.170   3.370   14   18   19
 HAP   1,F    0    1  29.004  14.990   3.950   17
 CAG   6+F    2    3  27.080  13.850   3.470   17   20   21
 HAJ   1,F    0    1  26.407  14.522   4.002   19
 CAV   6+F    3    4  26.540  12.570   2.810   19   22   23   24
 HA1   1,F    0    1  26.592  11.745   3.520   21
 HA2   1,F    0    1  27.118  12.414   1.899   21
 CAJ   6+F    2    3  25.090  12.790   2.390   21   25   26
 HAM   1,F    0    1  24.819  13.195   1.415   24
 CAP   6+F    2    3  24.040  12.400   3.440   24   27   28
 HAS   1,F    0    1  24.313  12.021   4.425   26
 CBB   6+F    3    4  22.590  12.580   3.010   26   29   30   31
 HBD   1,F    0    1  22.533  13.361   2.252   28
 HBE   1,F    0    1  22.014  12.790   3.911   28
 CBK   6+F    3    4  22.050  11.270   2.430   28   32   33   34
 HBV   1,F    0    1  22.092  10.490   3.190   31
 HBW   1,F    0    1  22.629  11.055   1.532   31
 CBN   6+F    3    4  20.600  11.480   1.990   31   35   36   37
 HB1   1,F    0    1  20.563  12.245   1.214   34
 HB2   1,F    0    1  20.027  11.722   2.885   34
 CBQ   6+F    3    4  20.040  10.170   1.440   34   38   39   40
 HB7   1,F    0    1  20.081   9.402   2.213   37
 HB8   1,F    0    1  20.605   9.932   0.539   37
 CBT   6+F    3    4  18.580  10.390   1.010   37   41   42   43
 HCD   1,F    0    1  18.547  11.130   0.211   40
 HCE   1,F    0    1  18.026  10.674   1.905   40
 CBW   6+F    3    4  17.980   9.080   0.510   40   44   45   46
 HCJ   1,F    0    1  18.082   8.324   1.289   43
 HCK   1,F    0    1  18.495   8.831  -0.418   43
 CBZ   6+F    3    4  16.490   9.240   0.160   43   47   48   49
 HCP   1,F    0    1  16.137   8.327  -0.321   46
 HCQ   1,F    0    1  16.407  10.130  -0.463   46
 CCF   6+F    2    3  15.650   9.500   1.420   46   50   51
 OAD   8+F    2    1  15.430  10.650   1.810   49
 OCC   8+F    3    2  15.310   8.360   2.100   49   52
 CCI   6-F    3    4  14.190   8.480   2.990   51   53   54  105
 HCV   1,F    0    1  14.226   9.424   3.534   52
 OCE   8+F    3    2  12.980   8.380   2.220   52   55
 CCH   6+F    2    3  12.380   9.580   1.970   54   56   57
 OAF   8+F    2    1  12.400  10.120   0.870   55
 CCB   6-F    3    4  11.500  10.130   3.090   55   58   59   60
 HCT   1,F    0    1  12.122  10.186   3.983   57
 HCU   1,F    0    1  11.083  11.088   2.779   57
 CBY   6-F    3    4  10.350   9.160   3.410   57   61   62   63
 HCN   1,F    0    1  10.726   8.161   3.190   60
 HCO   1,F    0    1  10.082   9.295   4.458   60
 CBV   6-F    3    4   9.070   9.330   2.570   60   64   65   66
 HCH   1,F    0    1   8.392   8.543   2.900   63
 HCI   1,F    0    1   8.684  10.329   2.771   63
 CBS   6-F    3    4   9.170   9.180   1.030   63   67   68   69
 HCB   1,F    0    1   8.150   9.268   0.656   66
 HCC   1,F    0    1   9.824   9.973   0.667   66
 CBP   6-F    3    4   9.710   7.850   0.480   66   70   71   72
 HB5   1,F    0    1   9.587   7.891  -0.602   69
 HB6   1,F    0    1  10.748   7.744   0.796   69
 CBM   6-F    3    4   8.930   6.620   0.960   69   73   74   75
 HBZ   1,F    0    1   9.219   6.450   1.997   72
 HB0   1,F    0    1   7.864   6.804   0.823   72
 CBD   6-F    3    4   9.320   5.350   0.180   72   76   77   78
 HBH   1,F    0    1   8.770   4.532   0.644   75
 HBI   1,F    0    1   9.045   5.509  -0.863   75
 CAR   6+F    2    3  10.810   4.930   0.210   75   79   80
 HAU   1,F    0    1  11.248   4.391  -0.630   78
 CAL   6+F    2    3  11.660   5.280   1.430   78   81   82
 HAO   1,F    0    1  11.248   5.801   2.294   80
 CAX   6-F    3    4  13.130   4.850   1.360   80   83   84   85
 HA5   1,F    0    1  13.509   4.843   2.382   82
 HA6   1,F    0    1  13.203   3.890   0.849   82
 CAI   6+F    2    3  13.940   5.900   0.590   82   86   87
 HAL   1,F    0    1  13.548   6.905   0.433   85
 CAO   6+F    2    3  15.310   5.500   0.050   85   88   89
 HAR   1,F    0    1  15.658   5.858  -0.919   87
 CBA   6+F    3    4  16.180   4.580   0.910   87   90   91   92
 HBB   1,F    0    1  15.540   3.977   1.554   89
 HBC   1,F    0    1  16.880   5.218   1.449   89
 CBJ   6+F    3    4  17.010   3.660   0.020   89   93   94   95
